,West Asian,East Med,West Med,South Asian,Red Sea,Baltic,North Atlantic,Siberian,Amerindian,East Asian,Oceanian,Northeast African,Sub-Saharan
Erzya,7.60,2.62,6.40,1.78,0.32,50.51,21.08,7.11,1.50,0.49,0.00,0.25,0.33
Estonian,2.45,0.57,6.76,0.95,0.09,50.58,32.93,3.51,1.35,0.05,0.61,0.04,0.09
Ethiopian_Amhara,0.04,21.14,0.77,0.03,26.79,0.01,0.07,0.02,0.17,0.14,0.21,47.07,3.55
Ethiopian_Anuak,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.02,0.02,0.03,0.02,61.65,38.23
Ethiopian_Ari_cultivator,1.97,2.23,0.32,1.41,9.70,0.14,0.43,0.53,0.20,0.23,0.37,74.12,8.35
Ethiopian_Gumuz,0.01,0.00,0.00,0.78,0.01,0.00,0.00,0.30,0.10,0.51,0.41,72.20,25.69
Ethiopian_Oromo,0.05,14.96,1.16,0.02,21.12,0.00,0.04,0.00,0.05,0.73,0.10,54.94,6.82
Ethiopian_Tigray,0.02,22.70,2.17,0.00,26.62,0.01,0.09,0.01,0.00,0.00,0.26,45.95,2.16
Ethiopian_Wolayta,0.08,13.09,0.43,0.07,19.47,0.01,0.60,0.30,0.19,0.49,0.16,59.32,5.79
Evenki,0.52,0.20,0.37,0.44,0.12,4.32,0.26,79.19,1.34,11.82,1.21,0.11,0.11
Evens,0.48,0.37,0.90,0.37,0.38,3.03,0.14,80.94,2.43,10.18,0.61,0.18,0.01
Finnish,2.21,0.65,4.43,0.53,0.42,47.69,34.17,6.48,0.90,0.96,0.81,0.50,0.26
French,4.96,10.33,19.50,1.08,2.82,17.49,42.60,0.27,0.38,0.15,0.23,0.07,0.12
French_Basque,0.35,3.07,35.86,0.32,0.31,6.10,52.62,0.06,0.08,0.65,0.30,0.22,0.04
Georgian,52.15,21.85,10.13,1.80,3.22,5.52,3.72,0.37,0.42,0.65,0.12,0.03,0.03
Georgian_Jewish,36.22,36.59,10.91,2.98,8.26,3.28,0.77,0.09,0.26,0.37,0.16,0.11,0.00
German,7.11,5.81,12.86,0.88,0.59,26.04,45.34,0.22,0.39,0.05,0.19,0.37,0.17
