Jewish_Ashkenazi,0,6.71,5.16,1.08,0,1.21,0,0.07,3.49,0.03,2.18,14.15,1.23,0.52,3.48,11.79,0,14.79,0.18,14.11,3.18,2.18,3.86,2.30,0.36,0.04,0,0,0.27,0.18,1.27,0.11,0.42,0,2.57,2.93
Latvian,0,0,0,0.53,0,5.73,0,0,4.64,0,30.64,0,21.71,19.13,3.71,0.44,0,0.06,0,0,0.01,4.34,0.00,8.59,0,0,0,0,0,0,0,0,1.56,0.23,0.07,0
Montenegrin,0,0.31,1.93,1.01,0,6.46,0,0,8.86,0,10.28,6.39,8.50,5.21,3.62,8.47,0,15.98,0.02,2.43,0.03,5.06,3.49,6.84,0,0,0,0,0,0,0.24,0,0.69,0,1.54,2.54
Norwegian,0.11,0,0.00,1.65,0,7.17,0,0,1.29,0.00,7.03,0,6.02,17.41,7.57,7.67,0,4.51,0,0,0.00,15.20,1.13,22.02,0,0.04,0,0,0.00,0.00,0.25,0,0.73,0,0.08,0.00
North_Macedonian,0,1.50,4.27,3.01,0,6.87,0,0,9.24,0,7.11,8.75,8.33,2.31,3.15,6.8,0,16.90,0,6.81,0,5.45,2.44,2.06,0,0,0,0,0,0,0,0,0.16,0,0.76,4.00
Polish,0.01,0.05,0.18,0.53,0.00,9.68,0,0,7.18,0,23.89,0.05,16.01,11.02,5.24,4.50,0,2.92,0,0.16,0,6.87,1.80,8.54,0.02,0.00,0,0.02,0,0,0.10,0,1.00,0,0.21,0.25
Portuguese,0.08,1.30,0.26,4.50,0.45,3.18,0.93,0,2.09,0.00,1.71,2.82,1.67,2.74,6.42,26.75,0,14.28,0.00,1.44,5.11,7.31,0.13,7.81,0.77,0.12,0.13,0.00,0.00,0.09,0.07,0.00,0.31,0.38,0.33,6.83
Romanian,0.05,0.66,2.04,1.34,0.00,6.45,0,0.03,9.00,0.02,10.82,6.04,7.34,4.54,2.99,9.70,0.03,14.27,0.03,1.94,0.37,4.49,3.55,6.45,0.00,0.02,0.00,0.00,0.00,0.43,0.68,0,1.62,0.03,1.43,3.88
Russian,0.27,0.02,0.14,1.02,0.00,7.37,0,0.01,5.50,0.04,22.12,0.08,20.07,17.46,2.71,2.69,0.02,1.08,0.02,0.12,0.02,5.33,1.71,6.61,0.00,0.05,0.01,0.02,0.78,0.14,0.50,0.00,3.76,0.01,0.10,0.14
Scottish,0.06,0,0.05,2.59,0.00,7.02,0,0,1.73,0,5.58,0,4.49,8.71,7.90,13.09,0,6.95,0,0,0.00,18.72,2.23,19.23,0,0.00,0,0,0,0.00,0.40,0.00,0.60,0,0.06,0.48
